name,time,avg_temp_closet,avg_temp_outdoor,avg_temp_shed,heater_kWhr,heater_on,interval,local_dt,max_temp_closet,min_temp_closet,pct_heater_on,yr_mo,yr_mo_1
d1_temp,2023-09-09T04:00:00Z,24.65749782986111,26.00430049189815,27.792393663194446,0,0,23.998204180195835,2023-09-09T00:00:49,29.3125,20.875,0,23-09,
d1_temp,2023-09-10T04:00:00Z,22.09730902777778,21.58200954861111,25.66067708333333,0,0,23.998215667189168,2023-09-10T00:00:42,23.6875,20.75,0,23-09,
d1_temp,2023-09-11T04:00:00Z,23.458930121527782,23.263140190972223,26.776519097222224,0,0,24.00287265276361,2023-09-11T00:00:36,25.5625,22.1875,0,23-09,
d1_temp,2023-09-12T04:00:00Z,23.417726802600473,23.91518912529551,26.75629432624113,0,0,22.805924886299728,2023-09-12T00:00:46,26.375,22.125,0,23-09,
d1_temp,2023-09-13T04:00:00Z,22.752371453900707,21.69513519503546,26.06559175531915,0,0,23.4895311788,2023-09-13T00:00:35,23.5,22.3125,0,23-09,
d1_temp,2023-09-14T04:00:00Z,22.105352393617018,22.694027039007093,24.94514627659575,0,0,23.513306508601385,2023-09-14T00:00:04,25.75,19.5,0,23-09,
d1_temp,2023-09-15T04:00:00Z,18.285785590277776,18.056434461805555,21.44713541666667,0.01099999999999568,0,23.9961848768125,2023-09-15T00:00:58,20.5625,15.875,0,,23-09
d1_temp,2023-09-16T04:00:00Z,17.91011284722222,17.135286458333333,21.291525607638885,0.031999999999982265,0.18398031583333332,23.99407924812389,2023-09-16T00:00:44,19.8125,16.5625,0.007667738108671907,,23-09
d1_temp,2023-09-17T04:00:00Z,19.731260850694444,22.22610677083333,23.065190972222222,0,0,23.99549564007278,2023-09-17T00:00:23,23.9375,15.75,0,,23-09
d1_temp,2023-09-18T04:00:00Z,18.911816406249997,17.685047743055556,22.357042100694446,0,0,24.010136999472785,2023-09-18T00:00:07,20.125,18.25,0,,23-09
d1_temp,2023-09-19T04:00:00Z,20.025206163194444,20.19286024305556,22.954351128472215,0,0,23.99341412511472,2023-09-19T00:00:43,23.75,17.1875,0,,23-09
d1_temp,2023-09-20T04:00:00Z,18.113411458333335,20.159092881944446,21.558355034722226,0,6.538618826666666,24.010815287512777,2023-09-20T00:00:20,23.0625,13.6875,0.27231973376877305,,23-09
d1_temp,2023-09-21T04:00:00Z,16.423502604166668,19.021733940972222,19.912521701388894,0,10.936763589967777,23.995172898023334,2023-09-21T00:00:59,22.3125,10.5,0.45579015564704356,,23-09
d1_temp,2023-09-22T04:00:00Z,16.148057725694446,18.292089843750006,19.46715494791667,0,12.2237063184,23.994549836733324,2023-09-22T00:00:41,22.125,10.875,0.5094367846687706,,23-09
